code,name
300010,豆神教育
300033,同花顺
300044,ST赛为
300046,台基股份
300059,东方财富
300061,旗天科技
300068,南都电源
300077,国民技术
300085,银之杰
300094,国联水产
300120,经纬辉开
300133,华策影视
300152,ST新动力
300165,ST天瑞
300169,天晟新材
300177,中海达
300234,开尔新材
300245,天玑科技
300249,依米康
300264,佳创视讯
300270,中威电子
300306,远方信息
300339,润和软件
300343,ST联创
300355,蒙草生态
300374,中铁装配
300377,赢时胜
300380,安硕信息
300386,飞天诚信
300399,天利科技
300402,宝色股份
300411,金盾股份
300412,迦南科技
300454,深信服
300462,ST华铭
300486,东杰智能
300489,光智科技
300508,维宏股份
300530,领湃科技
300534,陇神戎发
300584,海辰药业
300608,思特奇
300612,宣亚国际
300615,欣天科技
300618,寒锐钴业
300622,博士眼镜
300623,捷捷微电
300641,正丹股份
300660,江苏雷利
300730,科创信息
300746,汉嘉设计
300778,新城市
300780,德恩精工
300781,因赛集团
300803,指南针
300807,天迈科技
300809,华辰装备
300813,泰林生物
300827,上能电气
300844,山水比德
300846,首都在线
300860,锋尚文化
300865,大宏立
300892,品渥食品
300896,爱美客
300899,*ST凯鑫
300906,日月明
300917,特发服务
300925,法本信息
300931,通用电梯
300949,奥雅股份
300956,英力股份
300966,共同药业
300985,致远新能
300988,津荣天宇
301001,凯淳股份
301010,晶雪节能
301022,海泰科
301041,金百泽
301049,超越科技
301072,中捷精工
301083,百胜智能
301089,拓新药业
301098,金埔园林
301120,新特电气
301138,华研精机
301151,冠龙节能
301163,宏德股份
301169,零点有数
301201,诚达药业
301226,祥明智能
301258,富士莱
301279,金道科技
301281,科源制药
301297,富乐德
301306,西测测试
301318,维海德
301361,众智科技
301368,丰立智能
301448,开创电气
301487,盟固利
301611,珂玛科技
000006,深振业Ａ
000014,沙河股份
000017,深中华A
000020,深华发Ａ
000025,特 力Ａ
000032,深桑达Ａ
000037,深南电A
000045,深纺织Ａ
000056,皇庭国际
000062,深圳华强
000065,北方国际
000069,华侨城Ａ
000151,中成股份
000402,金 融 街
000404,长虹华意
000408,藏格矿业
000421,南京公用
000422,湖北宜化
000514,渝 开 发
000517,荣安地产
000524,岭南控股
000530,冰山冷热
000533,顺钠股份
000536,华映科技
000537,中绿电
000544,中原环保
000553,安道麦A
000560,我爱我家
000566,海南海药
000567,海德股份
000571,新大洲A
000572,海马汽车
000573,粤宏远Ａ
000582,北部湾港
000586,汇源通信
000593,德龙汇能
000595,*ST宝实
000608,*ST阳光
000610,西安旅游
000620,盈新发展
000628,高新发展
000629,钒钛股份
000631,顺发恒业
000638,*ST万方
000655,金岭矿业
000665,湖北广电
000670,盈方微
000677,恒天海龙
000678,襄阳轴承
000683,博源化工
000695,滨海能源
000701,厦门信达
000702,正虹科技
000715,中兴商业
000717,中南股份
000721,西安饮食
000722,湖南发展
000736,*ST中地
000737,北方铜业
000750,国海证券
000753,漳州发展
000755,山西高速
000756,新华制药
000766,通化金马
000783,长江证券
000788,北大医药
000792,盐湖股份
000793,ST华闻
000795,英洛华
000797,中国武夷
000812,陕西金叶
000815,美利云
000820,*ST节能
000821,京山轻机
000826,启迪环境
000828,东莞控股
000829,天音控股
000837,秦川机床
000838,财信发展
000852,石化机械
000856,冀东装备
000862,银星能源
000863,三湘印象
000868,安凯客车
000880,潍柴重机
000890,法尔胜
000892,欢瑞世纪
000899,赣能股份
000917,电广传媒
000926,福星股份
000933,神火股份
000936,华西股份
000937,冀中能源
000948,南天信息
000953,河化股份
000957,中通客车
000958,电投产融
000965,天保基建
000966,长源电力
000968,蓝焰控股
000972,*ST中基
000980,众泰汽车
000981,山子高科
000983,山西焦煤
001205,盛航股份
001208,华菱线缆
001212,中旗新材
001216,华瓷股份
001217,华尔泰
001229,魅视科技
001236,弘业期货
001259,利仁科技
001267,汇绿生态
001268,联合精密
001298,好上好
001300,三柏硕
001324,长青科技
001379,腾达科技
001896,豫能控股
002031,巨轮智能
002033,丽江股份
002037,保利联合
002047,*ST宝鹰
002053,云南能投
002058,*ST威尔
002060,广东建工
002062,宏润建设
002066,瑞泰科技
002072,凯瑞德
002076,*ST星光
002077,大港股份
002084,海鸥住工
002088,鲁阳节能
002090,金智科技
002093,国脉科技
002094,青岛金王
002096,易普力
002101,广东鸿图
002103,广博股份
002104,恒宝股份
002109,兴化股份
002116,中国海诚
002121,科陆电子
002136,安 纳 达
002137,实益达
002140,东华科技
002146,荣盛发展
002150,通润装备
002153,石基信息
002164,宁波东力
002173,创新医疗
002178,延华智能
002181,粤 传 媒
002186,全 聚 德
002188,中天服务
002193,如意集团
002194,武汉凡谷
002199,*ST东晶
002204,大连重工
002205,国统股份
002207,准油股份
002208,合肥城建
002211,ST宏达
002219,新里程
002229,鸿博股份
002231,*ST奥维
002232,启明信息
002235,安妮股份
002238,天威视讯
002246,北化股份
002248,华东数控
002253,*ST智胜
002256,兆新股份
002265,建设工业
002269,美邦服饰
002272,川润股份
002274,华昌化工
002281,光迅科技
002284,亚太股份
002292,奥飞娱乐
002298,中电鑫龙
002302,西部建设
002305,*ST南置
002314,南山控股
002317,众生药业
002330,得利斯
002331,皖通科技
002333,罗普斯金
002342,巨力索具
002346,柘中股份
002348,高乐股份
002349,精华制药
002354,天娱数科
002355,兴民智通
002356,赫美集团
002357,富临运业
002360,同德化工
002362,汉王科技
002366,融发核电
002369,卓翼科技
002370,亚太药业
002374,中锐股份
002377,国创高新
002378,章源钨业
002380,科远智慧
002386,天原股份
002388,ST新亚
002403,爱仕达
002416,爱施德
002418,康盛股份
002420,毅昌科技
002423,中粮资本
002431,棕榈股份
002432,九安医疗
002454,松芝股份
002455,百川股份
002456,欧菲光
002457,青龙管业
002467,二六三
002478,常宝股份
002480,新筑股份
002482,广田集团
002487,大金重工
002497,雅化集团
002514,宝馨科技
002520,日发精机
002527,新时达
002529,*ST海源
002530,金财互联
002532,天山铝业
002535,林州重机
002536,飞龙股份
002547,春兴精工
002550,千红制药
002553,南方精工
002559,亚威股份
002560,通达股份
002561,徐家汇
002570,贝因美
002576,通达动力
002581,ST未名
002583,海能达
002589,瑞康医药
002591,恒大高新
002593,日上集团
002596,海南瑞泽
002599,盛通股份
002607,中公教育
002611,东方精工
002613,北玻股份
002622,皓宸医疗
002623,亚玛顿
002628,成都路桥
002629,仁智股份
002630,ST华西
002639,雪人集团
002641,公元股份
002647,*ST仁东
002654,万润科技
002657,中科金财
002658,雪迪龙
002666,德联集团
002667,威领股份
002679,福建金森
002682,龙洲股份
002685,华东重机
002686,亿利达
002689,远大智能
002693,*ST双成
002694,顾地科技
002703,浙江世宝
002713,*ST东易
002717,ST岭南
002719,麦趣尔
002725,跃岭股份
002728,特一药业
002746,仙坛股份
002756,永兴材料
002758,浙农股份
002761,浙江建投
002762,*ST金比
002766,索菱股份
002767,先锋电子
002769,普路通
002771,真视通
002772,众兴菌业
002774,快意电梯
002777,久远银海
002786,银宝山新
002789,*ST建艺
002793,罗欣药业
002796,世嘉科技
002800,天顺股份
002803,吉宏股份
002805,丰元股份
002813,路畅科技
002816,*ST和科
002828,贝肯能源
002829,星网宇达
002835,同为股份
002837,英维克
002838,道恩股份
002843,泰嘉股份
002845,同兴达
002846,英联股份
002847,盐津铺子
002850,科达利
002851,麦格米特
002855,捷荣技术
002857,三晖电气
002864,盘龙药业
002866,传艺科技
002868,*ST绿康
002875,安奈儿
002877,智能自控
002878,元隆雅图
002881,美格智能
002882,金龙羽
002883,中设股份
002887,绿茵生态
002888,惠威科技
002889,东方嘉盛
002893,京能热力
002895,川恒股份
002896,中大力德
002897,意华股份
002898,*ST赛隆
002900,哈三联
002902,铭普光磁
002907,华森制药
002909,集泰股份
002911,佛燃能源
002915,中欣氟材
002922,伊戈尔
002927,泰永长征
002933,新兴装备
002941,新疆交建
002943,宇晶股份
002952,亚世光电
002953,日丰股份
002975,博杰股份
002981,朝阳科技
002988,豪美新材
002996,顺博合金
003001,中岩大地
003004,*ST声迅
003005,竞业达
003007,直真科技
003010,若羽臣
003027,同兴科技
003028,振邦智能
003032,*ST传智
003033,征和工业
003035,南网能源
003036,泰坦股份
003038,鑫铂股份
003040,楚天龙
003042,中农联合
003043,华亚智能
